Linux 5.4.0-58-generic (Elliot) 	26/12/20 	_x86_64_	(2 CPU)

18:48:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:49:39        all      8,12      1,52      1,02      0,00      0,00     89,34
18:49:40        all      8,54      1,01      2,01      2,51      0,00     85,93
18:49:41        all      9,90      1,98      0,50      0,00      0,00     87,62
18:49:42        all      7,11      1,02      0,51      0,00      0,00     91,37
18:49:43        all      7,46      1,49      1,00      0,00      0,00     90,05
18:49:44        all      8,08      1,52      0,51      0,00      0,00     89,90
18:49:45        all      7,43      1,98      1,98      0,00      0,00     88,61
18:49:46        all      7,65      2,04      1,53      3,57      0,00     85,20
18:49:47        all      8,54      1,51      1,01      0,00      0,00     88,94
18:49:48        all      8,50      1,00      1,00      0,00      0,00     89,50
18:49:49        all      8,00      1,00      1,50      0,00      0,00     89,50
18:49:50        all      7,61      1,02      0,51      0,00      0,00     90,86
18:49:51        all      6,63      1,53      0,51      4,08      0,00     87,24
18:49:52        all      7,92      1,49      1,49      0,00      0,00     89,11
18:49:53        all      8,54      1,51      1,01      0,00      0,00     88,94
18:49:54        all      6,60      1,02      1,52      0,00      0,00     90,86
18:49:55        all      8,00      1,00      1,00      0,00      0,00     90,00
18:49:56        all      7,07      2,53      0,51      2,02      0,00     87,88
18:49:57        all      7,00      1,00      1,50      0,00      0,00     90,50
18:49:58        all     12,63      4,55      0,51      0,00      0,00     82,32
18:49:59        all     51,79     22,05      1,54      0,00      0,00     24,62
18:50:00        all      8,12      2,54      0,51      0,00      0,00     88,83
18:50:01        all      7,04      1,01      1,01      3,02      0,00     87,94
18:50:02        all      7,43      0,99      1,98      0,00      0,00     89,60
18:50:03        all      6,06      1,01      1,01      0,00      0,00     91,92
18:50:04        all      7,58      1,01      1,01      0,00      0,00     90,40
18:50:05        all      7,50      2,00      0,50      0,00      0,00     90,00
18:50:06        all      8,50      1,00      2,50      2,50      0,00     85,50
18:50:07        all      7,11      1,02      0,51      0,00      0,00     91,37
18:50:08        all      8,08      1,52      1,01      0,00      0,00     89,39
18:50:09        all      9,00      1,50      1,00      0,00      0,00     88,50
18:50:10        all      9,00      2,00      0,00      0,00      0,00     89,00
18:50:11        all     26,77     16,16      1,52      2,53      0,00     53,03
18:50:12        all      7,50      1,50      0,50      0,00      0,00     90,50
18:50:13        all      7,11      1,52      0,51      0,00      0,00     90,86
18:50:14        all      8,08      1,01      1,01      0,00      0,00     89,90
18:50:15        all      6,50      1,50      1,00      0,00      0,00     91,00
18:50:16        all      7,11      1,02      0,51      2,03      0,00     89,34
