Linux 5.4.0-58-generic (Elliot) 	27/12/20 	_x86_64_	(2 CPU)

11:56:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:57:50        all      0,00      0,00      0,50      0,50      0,00     99,00
11:57:51        all      0,50      0,00      0,00      0,00      0,00     99,50
11:57:52        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:53        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:54        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:55        all      0,00      0,00      0,50      1,01      0,00     98,49
11:57:56        all      0,00      0,00      0,00      0,00      0,00    100,00
11:57:57        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:58        all      0,00      0,00      0,50      0,00      0,00     99,50
11:57:59        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:00        all      0,50      0,00      0,00      0,50      0,00     98,99
11:58:01        all      0,00      0,00      0,50      0,00      0,00     99,50
11:58:02        all      0,00      0,00      0,50      0,00      0,00     99,50
11:58:03        all      1,00      0,00      0,00      0,00      0,00     99,00
11:58:04        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:05        all      0,00      0,00      0,00      1,00      0,00     99,00
11:58:06        all      0,50      0,00      0,00      0,00      0,00     99,50
11:58:07        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:08        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:09        all      1,52      0,00      0,51      0,00      0,00     97,98
11:58:10        all      0,00      0,00      0,00      1,00      0,00     99,00
11:58:11        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:12        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:13        all      1,00      0,00      0,50      0,00      0,00     98,51
11:58:14        all      0,00      0,50      0,00      0,00      0,00     99,50
11:58:15        all      0,00      0,00      0,00      0,50      0,00     99,50
11:58:16        all      0,50      0,00      0,00      0,00      0,00     99,50
11:58:17        all      0,00      0,00      0,50      0,00      0,00     99,50
11:58:18        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:19        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:20        all      0,50      0,00      0,50      0,50      0,00     98,51
11:58:21        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:22        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:23        all      0,50      0,00      0,00      0,00      0,00     99,50
11:58:24        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:25        all      0,00      0,00      0,50      1,00      0,00     98,50
11:58:26        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:27        all      0,00      0,00      0,50      0,00      0,00     99,50
11:58:28        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:29        all      1,00      0,00      0,00      0,00      0,00     99,00
11:58:30        all      0,00      0,00      0,00      0,51      0,00     99,49
11:58:31        all      0,50      0,00      0,50      0,00      0,00     99,00
11:58:32        all      0,50      0,00      0,00      0,00      0,00     99,50
11:58:33        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:34        all      0,00      0,00      0,50      0,00      0,00     99,50
11:58:35        all      0,00      0,00      0,00      1,01      0,00     98,99
11:58:36        all      0,50      0,00      0,00      0,00      0,00     99,50
11:58:37        all      0,99      0,49      0,99      0,00      0,00     97,54
11:58:38        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:39        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:40        all      0,00      0,00      0,00      1,01      0,00     98,99
11:58:41        all      0,00      0,00      1,00      0,00      0,00     99,00
11:58:42        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:43        all      0,50      0,50      0,00      0,00      0,00     99,00
11:58:44        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:45        all      0,50      0,00      1,00      1,00      0,00     97,51
11:58:46        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:47        all      0,50      0,00      0,50      0,00      0,00     99,00
11:58:48        all      0,50      0,00      0,50      0,00      0,00     99,00
11:58:49        all      0,50      0,00      0,00      0,00      0,00     99,50
11:58:50        all      0,00      0,00      0,50      2,50      0,00     97,00
11:58:51        all      0,50      0,00      0,50      0,00      0,00     99,00
11:58:52        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:53        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:54        all      1,00      0,00      0,00      0,00      0,00     99,00
11:58:55        all      0,00      0,00      0,00      0,51      0,00     99,49
11:58:56        all      0,00      0,00      0,00      0,00      0,00    100,00
11:58:57        all      0,00      0,00      0,50      0,00      0,00     99,50
11:58:58        all      0,00      0,00      0,50      0,00      0,00     99,50
11:58:59        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:00        all      0,00      0,00      0,00      0,51      0,00     99,49
11:59:01        all      0,50      0,00      0,00      0,00      0,00     99,50
11:59:02        all      0,50      0,50      0,50      0,00      0,00     98,51
11:59:03        all      0,00      0,00      0,00      0,00      0,00    100,00
11:59:04        all      0,99      0,00      0,50      0,00      0,00     98,51
